City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,honiara,-9.4333,159.95,28.11,80,99,1.19,SB,1680403604
332,kimbe,-5.5502,150.1429,31.4,62,74,2.5,PG,1680403604
333,kitakata,37.65,139.8667,15.3,39,1,0.39,JP,1680403604
334,clifton,40.8584,-74.1638,13.07,84,75,2.06,US,1680403604
335,borba,-4.3878,-59.5939,22.74,98,100,0.41,BR,1680403605
336,shelburne,44.0787,-80.2041,-1.75,75,96,8.42,CA,1680403531
337,salinopolis,-0.6136,-47.3561,24.78,87,100,2.88,BR,1680403374
338,pingzhuang,42.0372,119.2889,18.53,29,50,10.13,CN,1680403606
339,kahului,20.8947,-156.47,27.01,66,40,7.72,US,1680403606
340,barreirinhas,-2.7469,-42.8264,23.48,96,100,1.54,BR,1680403606
341,nurota,40.5614,65.6886,18.17,48,100,2.29,UZ,1680403606
342,storm lake,42.6411,-95.2097,3.5,69,0,2.57,US,1680403607
343,marsa matruh,31.3525,27.2453,14.11,58,0,2.06,EG,1680403607
344,hambantota,6.1241,81.1185,28.19,89,20,1.54,LK,1680403607
345,yumen,40.2833,97.2,2.33,24,4,8.72,CN,1680403608
346,saint anthony,45.0205,-93.218,-0.12,77,0,3.09,US,1680403608
347,dalvik,65.9702,-18.5286,5.96,76,49,6.97,IS,1680403609
348,kirensk,57.7853,108.1119,-8.28,78,100,1.26,RU,1680403609
349,qasigiannguit,68.8193,-51.1922,-18.86,90,28,2.49,GL,1680403609
350,carlyle,38.6103,-89.3726,7.77,75,5,2.82,US,1680403609
351,ballina,-28.8667,153.5667,25.43,65,32,4.23,AU,1680403609
352,rawlins,41.7911,-107.2387,2.97,64,0,11.32,US,1680403610
353,alaverdi,41.0977,44.6732,2.61,79,100,2.03,AM,1680403610
354,severnyy,50.677,36.5532,4.02,80,96,5.0,RU,1680403337
355,beyneu,45.3167,55.2,11.86,54,100,1.94,KZ,1680403610
356,vostok,46.4856,135.8833,11.5,40,94,0.86,RU,1680403611
357,maceio,-9.6658,-35.7353,24.69,88,0,1.54,BR,1680403611
358,tura,25.5198,90.2201,22.08,73,0,2.2,IN,1680403611
359,lompoc,34.6391,-120.4579,13.11,79,0,6.69,US,1680403612
360,fereydun kenar,36.6864,52.5225,7.12,93,0,0.0,IR,1680403612
361,richmond,37.5538,-77.4603,18.99,48,40,12.35,US,1680402951
362,kosa,59.9445,54.9977,-0.34,95,100,2.69,RU,1680403612
